구분,노선번호,노선정보,비고,요금체계,데이터기준일자
제주간선버스,300,함덕종점(신사동) ↔ 천수동(인제) ↔ 제주시청 ↔ 한라병원 ↔ 번대동,시내급행,단일요금,2020-06-15
제주간선버스,311,한라수목원 ↔ 한라병원 ↔ 보건소(연삼로) ↔ 제주시청 ↔ 삼양동주민센터 ↔ 함덕종점(신사동),없음,단일요금,2020-06-15
제주간선버스,312,한라수목원 ↔ 한라병원 ↔ 보건소(연삼로) ↔ 제주시청 ↔ 중앙로사거리 ↔ 삼화지구(도련초) ↔ 함덕종점(신사동),없음,단일요금,2020-06-15
제주간선버스,315,하귀(수산) ↔ 국제여객선터미널,없음,단일요금,2020-06-15
제주간선버스,316,하귀(번대) ↔ 삼양1동,없음,단일요금,2020-06-15
제주간선버스,320,삼화지구 ↔ 하귀(수산),없음,단일요금,2020-06-15
제주간선버스,325,함덕종점(신사동) ↔ 삼양동주민센터 ↔ 동문로터리 ↔ 공항 ↔ 원노형 ↔ 한라수목원,없음,단일요금,2020-06-15
제주간선버스,326,함덕종점(신사동) ↔ 삼화지구(오름중) ↔ 동문로터리 ↔ 공항 ↔ 원노형 ↔ 한라수목원,없음,단일요금,2020-06-15
제주간선버스,331,삼양종점 ↔ 동광초등학교(신천동) ↔ 제주시청 ↔ 공항 ↔ 제주민속오일시장 ↔ 한라수목원,없음,단일요금,2020-06-15
제주간선버스,332,삼양종점 ↔ 천수동(인제) ↔ 중앙로사거리 ↔ 공항 ↔ 제원아파트 ↔ 한라수목원,없음,단일요금,2020-06-15
제주간선버스,335,봉개(큰동네) ↔ 삼양초등학교 ↔ 천수동(인제) ↔ 제주버스터미널 ↔ 백록초등학교 ↔ 제주관광대학,없음,단일요금,2020-06-15
제주간선버스,336,봉개(큰동네) ↔ 삼화지구(오름중) ↔ 천수동(인제) ↔ 제주버스터미널 ↔ 한라대학교 ↔ 제주관광대학,없음,단일요금,2020-06-15
제주간선버스,341,함덕종점(신사동) ↔ 삼양초등학교 ↔ 천수동(인제) ↔ 제주시청 ↔ 제주대(영주고),없음,단일요금,2020-06-15
제주간선버스,342,함덕종점(신사동) ↔ 삼화지구(오름중) ↔ 천수동(인제) ↔ 제주시청 ↔ 제주대(영주고),없음,단일요금,2020-06-15
제주간선버스,343,제주절물자연휴양림 ↔ 봉개동 ↔ 대유대림아파트 ↔ 제주시청 ↔ 제주버스터미널 ↔ 제주국제공항,없음,단일요금,2020-06-15
제주간선버스,344,제주절물자연휴양림 ↔ 봉개동 ↔ 대유대림아파트 ↔ 동문로터리 ↔ 용담사거리 ↔ 제주국제공항,없음,단일요금,2020-06-15
제주간선버스,345,제주대학교 → 탐라중학교 → 거로사거리 → 삼화지구 → 거로사거리 탐라중학교 → 제주대학교,순환,단일요금,2020-06-15
제주간선버스,346,영주고 ↔ 한일베라체/제일중학교 ↔ 서해아파트 ↔ 오현중고등학교↔ 삼화지구,없음,단일요금,2020-06-15
제주간선버스,347,월평(중앙고) → 탐라중학교 → 삼화지구 → 탐라중학교 → 월평(중앙고),순환,단일요금,2020-06-15
제주간선버스,348,함덕종점(신사동) ↔ 삼양초등학교 ↔ 천수동(인제) ↔ 제주시청 ↔ 월평(중앙고),없음,단일요금,2020-06-15
제주간선버스,349,함덕종점(신사동) ↔ 삼화지구(오름중) ↔ 천수동(인제) ↔ 제주시청 ↔ 월평(중앙고),없음,단일요금,2020-06-15
제주간선버스,351,봉개(큰동네) ↔ 삼양초등학교 ↔ 천수동(인제) ↔ 동문로터리 ↔ 제주시청 ↔ 제주대학교(영주고),없음,단일요금,2020-06-15
제주간선버스,352,봉개(큰동네) ↔ 삼양초등학교 ↔ 사라봉 ↔ 동문로터리 ↔ 제주시청 ↔ 제주대학교(영주고),없음,단일요금,2020-06-15
제주간선버스,355,하귀(수산) ↔ 제주도청(신제주로터리) ↔ 제주버스터미널 ↔ 제주지방법원 ↔ 제주대학교(영주고),없음,단일요금,2020-06-15
제주간선버스,356,하귀(수산) ↔ 제주도청(신제주로터리) ↔ 보건소 ↔ 제주대학교(영주고),없음,단일요금,2020-06-15
제주간선버스,357,하귀(수산) ↔ 제주도청(신제주로터리) ↔ 보건소 ↔ 제주지방법원 ↔ 월평,없음,단일요금,2020-06-15
제주간선버스,358,하귀(수산) ↔ 제주도청(신제주로터리) ↔ 제주버스터미널 ↔ 제주지방법원 ↔ 월평,없음,단일요금,2020-06-15
제주간선버스,360,제주고/중흥s클래스 ↔ 제주대학교(영주고),없음,단일요금,2020-06-15
제주간선버스,365,한라대학교 ↔ 제원아파트 ↔ 제주공항 ↔ 중앙로사거리 ↔ 제주시청 ↔ 제주대학교,없음,단일요금,2020-06-15
제주간선버스,366,한라대 → 한라병원 → 제주여고 → 제주대,등교시 1회 운행,단일요금,2020-06-15
제주간선버스,367,한라대 ↔ 한라병원 ↔ 제주여고 ↔ 월평,등교시 1회. 하교시 1회 운행,단일요금,2020-06-15
제주간선버스,368,한라대 → 노형성당 → 제주여고 → 월평,등교시 1회 운행,단일요금,2020-06-15
제주간선버스,369,월평 → 제주여고 → 노형뜨란채 → 한라대,하교시 1회 운행,단일요금,2020-06-15
제주간선버스,370,하귀(수산) ↔ 제주도청(신제주로터리) ↔ 제주공항 ↔ 중앙로사거리 ↔ 제주시청 ↔ 제주대학교병원,없음,단일요금,2020-06-15
제주간선버스,380,함덕종점(신사동) ↔ 사라봉 ↔ 중앙로터리 ↔ 제주대학교병원,없음,단일요금,2020-06-15
제주지선버스,411,국제여객선터미널(국제부두) → 동문로터리 → 봉개동(대기고) → 국제여객선터미널(국제부두),순환,단일요금,2020-06-15
제주지선버스,412,국제여객선터미널(국제부두) → 봉개동(대기고) → 동문로터리 국제여객선터미널(국제부두),순환,단일요금,2020-06-15
제주지선버스,415,국제여객선터미널(국제부두) ↔ 한라수목원,없음,단일요금,2020-06-15
제주지선버스,421,제주대 → 화북주공아파트입구 → 제주여고 → 제주대,순환,단일요금,2020-06-15
제주지선버스,422,제주대 → 제주여고 → 화북주공아파트입구 → 제주대,순환,단일요금,2020-06-15
제주지선버스,425,국제여객선터미널(국제부두) ↔ 한일베라체 ↔ 제주국제대학교,없음,단일요금,2020-06-15
제주지선버스,426,국제여객선터미널(국제부두) ↔ 제주여고 ↔ 제주제주국제대학교,없음,단일요금,2020-06-15
제주지선버스,431,제주버스터미널 → 사대부중 → 동여중 → 제주지방합동청사 → 제주버스터미널,순환,단일요금,2020-06-15
제주지선버스,432,제주버스터미널 → 제주지방합동청사 → 동여중 → 사대부중 → 제주버스터미널,순환,단일요금,2020-06-15
제주지선버스,434,한라도서관 → 제주시청 → 중앙로사거리 → 한라도서관,순환,단일요금,2020-06-15
제주지선버스,435,한라도서관 → 중앙로사거리 → 제주시청 → 한라도서관,순환,단일요금,2020-06-15
제주지선버스,436,한라도서관 → 제주시외버스터미널 → 한라중학교 → 한라도서관,순환,단일요금,2020-06-15
제주지선버스,437,한라도서관 → 한라중학교 → 제주시외버스터미널 → 한라도서관,순환,단일요금,2020-06-15
제주지선버스,440,한라수목원 ↔ 봉개동(큰동네),없음,단일요금,2020-06-15
제주지선버스,441,별빛누리공원 → 제주시청 → 용담1동주민센터→ 부민장례식장 → 별빛누리공원,순환,단일요금,2020-06-15
제주지선버스,442,별빛누리공원 → 부민장례식장 → 용담1동주민센터→ 제주시청 → 별빛누리공원,순환,단일요금,2020-06-15
제주지선버스,444,도평 → 시외버스터미널 → 용담사거리 → 도평,순환,단일요금,2020-06-15
제주지선버스,445,도평 → 용담사거리 → 시외버스터미널 → 도평,순환,단일요금,2020-06-15
제주지선버스,446,도평 ↔ 외도초등학교 ↔ 용담사거리 ↔ 제주대학교(월평),없음,단일요금,2020-06-15
제주지선버스,447,도평 ↔ 관덕정 ↔ 제주대학교,없음,단일요금,2020-06-15
제주지선버스,451,도리초등학교(도두동) → 연동주민센터 → 외도부영1.2차 아파트 → 도리초등학교(도두동),순환,단일요금,2020-06-15
제주지선버스,452,도리초등학교(도두동) → 외도부영1.2차 아파트 → 연동주민센터 → 도리초등학교(도두동),순환,단일요금,2020-06-15
제주지선버스,455,장전리 ↔ 고성리 ↔ 광령1리 ↔ 제주도청(신제주로터리) ↔ 제주공항 ↔ 중앙로사거리 ↔ 제주대학교,2.7일 제주민속오일시장 경유,단일요금,2020-06-15
제주지선버스,461,해안마을 → 제주도청 → 해안마을,순환,단일요금,2020-06-15
제주지선버스,462,해안마을 → 제주버스터미널 → 사대부속고등학교 → 제주민속오일시장 → 해안마을,순환,단일요금,2020-06-15
제주지선버스,465,제주도립미술관 → 제주연안여객터미널 → 제주도립미술관,순환,단일요금,2020-06-15
제주지선버스,466,축산마을 → 제주연안여객터미널 → 축산마을,순환,단일요금,2020-06-15
제주지선버스,471,제주국제대학교 ↔ 정실 ↔ 한라대학교,없음,단일요금,2020-06-15
제주지선버스,472,제주국제대학교 ↔ 한라도서관입구(연북로) ↔ 한라대학교,없음,단일요금,2020-06-15
제주지선버스,473,제주국제대학교 ↔ 제주대학교 ↔ 한라대학교,없음,단일요금,2020-06-15
제주지선버스,475,제주대학교 → 탐라교육원 → 제주대학교,순환,단일요금,2020-06-15
제주지선버스,477,제주대학교 → s중앙병원 → 제주대학교,순환,단일요금,2020-06-15
제주지선버스,490,제주대학교 → 디지털융합센터(카카오) → 제주대학교,순환,단일요금,2020-06-15
